accuracy:  84.68%; precision:  73.83%; recall:  74.69%; FB1:  74.25
accuracy:  87.33%; precision:  78.04%; recall:  79.07%; FB1:  78.55
accuracy:  90.35%; precision:  83.38%; recall:  84.03%; FB1:  83.70
accuracy:  90.26%; precision:  83.71%; recall:  83.69%; FB1:  83.70
accuracy:  90.36%; precision:  84.68%; recall:  83.77%; FB1:  84.22
accuracy:  91.38%; precision:  85.86%; recall:  85.58%; FB1:  85.72
accuracy:  91.50%; precision:  86.19%; recall:  85.78%; FB1:  85.98
accuracy:  91.79%; precision:  86.22%; recall:  86.96%; FB1:  86.59
accuracy:  92.12%; precision:  86.95%; recall:  87.26%; FB1:  87.11
accuracy:  92.28%; precision:  87.02%; recall:  87.87%; FB1:  87.45
accuracy:  92.26%; precision:  87.19%; recall:  87.49%; FB1:  87.34
accuracy:  92.52%; precision:  87.42%; recall:  88.01%; FB1:  87.71
accuracy:  82.86%; precision:  72.08%; recall:  70.48%; FB1:  71.27
accuracy:  86.66%; precision:  77.10%; recall:  77.24%; FB1:  77.17
accuracy:  89.27%; precision:  82.09%; recall:  82.49%; FB1:  82.29
accuracy:  90.47%; precision:  83.06%; recall:  85.16%; FB1:  84.10
accuracy:  90.92%; precision:  84.19%; recall:  85.83%; FB1:  85.00
accuracy:  90.88%; precision:  85.64%; recall:  84.66%; FB1:  85.14
accuracy:  91.70%; precision:  85.83%; recall:  86.18%; FB1:  86.00
accuracy:  91.76%; precision:  85.89%; recall:  86.97%; FB1:  86.43
accuracy:  91.83%; precision:  86.92%; recall:  86.53%; FB1:  86.72
accuracy:  92.18%; precision:  86.93%; recall:  87.83%; FB1:  87.37
accuracy:  92.22%; precision:  87.24%; recall:  87.64%; FB1:  87.44
accuracy:  92.36%; precision:  87.58%; recall:  88.02%; FB1:  87.80
accuracy:  81.77%; precision:  68.47%; recall:  69.31%; FB1:  68.89
accuracy:  87.23%; precision:  78.24%; recall:  78.78%; FB1:  78.51
accuracy:  89.18%; precision:  82.10%; recall:  81.77%; FB1:  81.93
accuracy:  90.34%; precision:  83.71%; recall:  83.93%; FB1:  83.82
accuracy:  90.59%; precision:  83.40%; recall:  84.95%; FB1:  84.17
accuracy:  91.36%; precision:  85.91%; recall:  85.23%; FB1:  85.57
accuracy:  91.08%; precision:  85.39%; recall:  85.33%; FB1:  85.36
accuracy:  91.48%; precision:  85.52%; recall:  86.40%; FB1:  85.96
accuracy:  92.06%; precision:  86.78%; recall:  87.23%; FB1:  87.00
accuracy:  92.06%; precision:  86.78%; recall:  87.44%; FB1:  87.11
accuracy:  92.03%; precision:  87.13%; recall:  86.99%; FB1:  87.06
accuracy:  92.39%; precision:  87.47%; recall:  87.98%; FB1:  87.72
accuracy:  84.98%; precision:  75.15%; recall:  74.07%; FB1:  74.61
accuracy:  87.70%; precision:  78.12%; recall:  80.73%; FB1:  79.40
accuracy:  89.06%; precision:  81.27%; recall:  81.78%; FB1:  81.52
accuracy:  89.91%; precision:  83.17%; recall:  84.06%; FB1:  83.61
accuracy:  90.51%; precision:  84.06%; recall:  84.67%; FB1:  84.37
accuracy:  91.22%; precision:  85.19%; recall:  85.87%; FB1:  85.53
accuracy:  91.33%; precision:  85.09%; recall:  86.25%; FB1:  85.67
accuracy:  91.40%; precision:  85.46%; recall:  86.78%; FB1:  86.11
accuracy:  92.07%; precision:  86.55%; recall:  87.72%; FB1:  87.13
accuracy:  92.02%; precision:  86.74%; recall:  87.40%; FB1:  87.07
accuracy:  92.21%; precision:  86.85%; recall:  87.45%; FB1:  87.15
accuracy:  92.44%; precision:  87.96%; recall:  88.04%; FB1:  88.00
