accuracy:  82.58%; precision:  70.20%; recall:  70.04%; FB1:  70.12
accuracy:  87.51%; precision:  79.44%; recall:  78.47%; FB1:  78.95
accuracy:  89.01%; precision:  81.22%; recall:  81.56%; FB1:  81.39
accuracy:  89.95%; precision:  82.60%; recall:  83.00%; FB1:  82.80
accuracy:  90.21%; precision:  82.74%; recall:  84.35%; FB1:  83.54
accuracy:  91.02%; precision:  84.86%; recall:  85.37%; FB1:  85.12
accuracy:  91.61%; precision:  85.78%; recall:  86.76%; FB1:  86.27
accuracy:  91.35%; precision:  85.26%; recall:  86.45%; FB1:  85.85
accuracy:  91.68%; precision:  85.78%; recall:  87.05%; FB1:  86.41
accuracy:  91.93%; precision:  86.78%; recall:  86.98%; FB1:  86.88
accuracy:  92.11%; precision:  86.88%; recall:  87.71%; FB1:  87.29
accuracy:  92.13%; precision:  87.53%; recall:  87.07%; FB1:  87.30
accuracy:  82.82%; precision:  69.35%; recall:  71.99%; FB1:  70.65
accuracy:  87.61%; precision:  78.84%; recall:  79.86%; FB1:  79.35
accuracy:  88.88%; precision:  81.22%; recall:  81.20%; FB1:  81.21
accuracy:  89.96%; precision:  82.57%; recall:  83.55%; FB1:  83.06
accuracy:  90.16%; precision:  83.65%; recall:  83.00%; FB1:  83.32
accuracy:  91.06%; precision:  84.69%; recall:  85.51%; FB1:  85.09
accuracy:  91.52%; precision:  85.81%; recall:  86.42%; FB1:  86.11
accuracy:  91.58%; precision:  85.59%; recall:  87.01%; FB1:  86.30
accuracy:  91.79%; precision:  86.40%; recall:  86.55%; FB1:  86.48
accuracy:  91.90%; precision:  86.33%; recall:  87.00%; FB1:  86.66
accuracy:  91.84%; precision:  86.70%; recall:  87.15%; FB1:  86.92
accuracy:  92.22%; precision:  87.33%; recall:  87.54%; FB1:  87.43
accuracy:  83.00%; precision:  70.26%; recall:  71.26%; FB1:  70.76
accuracy:  87.83%; precision:  79.69%; recall:  78.86%; FB1:  79.27
accuracy:  89.20%; precision:  81.29%; recall:  81.67%; FB1:  81.48
accuracy:  90.23%; precision:  84.02%; recall:  83.58%; FB1:  83.80
accuracy:  90.02%; precision:  83.51%; recall:  82.64%; FB1:  83.07
accuracy:  91.25%; precision:  85.22%; recall:  85.86%; FB1:  85.54
accuracy:  91.50%; precision:  85.53%; recall:  86.68%; FB1:  86.10
accuracy:  91.62%; precision:  85.84%; recall:  86.93%; FB1:  86.39
accuracy:  91.88%; precision:  85.90%; recall:  87.45%; FB1:  86.67
accuracy:  91.97%; precision:  86.71%; recall:  87.07%; FB1:  86.89
accuracy:  91.95%; precision:  86.95%; recall:  87.43%; FB1:  87.19
accuracy:  92.10%; precision:  87.40%; recall:  87.40%; FB1:  87.40
accuracy:  82.73%; precision:  68.64%; recall:  72.41%; FB1:  70.48
accuracy:  87.59%; precision:  79.03%; recall:  78.48%; FB1:  78.75
accuracy:  88.59%; precision:  80.69%; recall:  80.89%; FB1:  80.79
accuracy:  89.57%; precision:  82.73%; recall:  83.05%; FB1:  82.89
accuracy:  90.16%; precision:  83.20%; recall:  83.68%; FB1:  83.44
accuracy:  90.92%; precision:  84.30%; recall:  85.57%; FB1:  84.93
accuracy:  91.28%; precision:  84.85%; recall:  86.10%; FB1:  85.47
accuracy:  91.66%; precision:  86.25%; recall:  86.14%; FB1:  86.20
accuracy:  91.70%; precision:  86.22%; recall:  86.67%; FB1:  86.44
accuracy:  91.99%; precision:  86.83%; recall:  87.20%; FB1:  87.01
accuracy:  91.83%; precision:  87.01%; recall:  86.94%; FB1:  86.97
accuracy:  92.27%; precision:  87.16%; recall:  88.08%; FB1:  87.61
