accuracy:  82.86%; precision:  69.54%; recall:  71.39%; FB1:  70.46
accuracy:  87.28%; precision:  78.04%; recall:  78.17%; FB1:  78.10
accuracy:  88.95%; precision:  81.86%; recall:  81.47%; FB1:  81.66
accuracy:  90.40%; precision:  83.59%; recall:  84.22%; FB1:  83.90
accuracy:  90.31%; precision:  83.16%; recall:  84.84%; FB1:  83.99
accuracy:  91.00%; precision:  84.68%; recall:  85.00%; FB1:  84.84
accuracy:  91.66%; precision:  85.88%; recall:  86.93%; FB1:  86.40
accuracy:  91.41%; precision:  85.87%; recall:  86.32%; FB1:  86.09
accuracy:  91.79%; precision:  85.87%; recall:  86.93%; FB1:  86.40
accuracy:  91.77%; precision:  86.51%; recall:  86.83%; FB1:  86.67
accuracy:  92.07%; precision:  86.78%; recall:  88.07%; FB1:  87.42
accuracy:  92.31%; precision:  87.23%; recall:  88.10%; FB1:  87.66
accuracy:  83.10%; precision:  71.15%; recall:  70.55%; FB1:  70.85
accuracy:  87.12%; precision:  78.10%; recall:  77.96%; FB1:  78.03
accuracy:  89.04%; precision:  81.08%; recall:  82.31%; FB1:  81.69
accuracy:  89.71%; precision:  82.38%; recall:  82.84%; FB1:  82.61
accuracy:  90.16%; precision:  83.45%; recall:  83.54%; FB1:  83.49
accuracy:  90.93%; precision:  84.72%; recall:  84.87%; FB1:  84.79
accuracy:  91.36%; precision:  85.66%; recall:  85.95%; FB1:  85.80
accuracy:  91.53%; precision:  85.84%; recall:  86.16%; FB1:  86.00
accuracy:  91.71%; precision:  86.23%; recall:  86.70%; FB1:  86.46
accuracy:  91.67%; precision:  86.64%; recall:  86.30%; FB1:  86.47
accuracy:  92.03%; precision:  86.69%; recall:  87.58%; FB1:  87.13
accuracy:  92.19%; precision:  87.08%; recall:  87.41%; FB1:  87.25
accuracy:  82.91%; precision:  69.80%; recall:  72.43%; FB1:  71.09
accuracy:  87.54%; precision:  79.45%; recall:  78.22%; FB1:  78.83
accuracy:  88.42%; precision:  80.72%; recall:  80.22%; FB1:  80.47
accuracy:  90.20%; precision:  83.59%; recall:  83.83%; FB1:  83.71
accuracy:  90.62%; precision:  83.91%; recall:  84.75%; FB1:  84.33
accuracy:  90.92%; precision:  84.80%; recall:  84.85%; FB1:  84.82
accuracy:  91.53%; precision:  85.98%; recall:  86.23%; FB1:  86.10
accuracy:  91.60%; precision:  86.44%; recall:  86.00%; FB1:  86.22
accuracy:  91.61%; precision:  85.81%; recall:  86.54%; FB1:  86.18
accuracy:  91.69%; precision:  86.27%; recall:  86.73%; FB1:  86.50
accuracy:  92.11%; precision:  86.86%; recall:  87.66%; FB1:  87.26
accuracy:  92.41%; precision:  87.36%; recall:  88.13%; FB1:  87.74
accuracy:  81.98%; precision:  67.11%; recall:  69.89%; FB1:  68.47
accuracy:  87.75%; precision:  79.64%; recall:  79.27%; FB1:  79.45
accuracy:  88.38%; precision:  80.03%; recall:  80.96%; FB1:  80.49
accuracy:  90.14%; precision:  83.26%; recall:  83.63%; FB1:  83.44
accuracy:  90.16%; precision:  83.40%; recall:  83.79%; FB1:  83.60
accuracy:  91.17%; precision:  85.31%; recall:  85.46%; FB1:  85.38
accuracy:  91.66%; precision:  86.11%; recall:  86.66%; FB1:  86.38
accuracy:  91.57%; precision:  85.79%; recall:  86.67%; FB1:  86.22
accuracy:  91.83%; precision:  86.75%; recall:  86.47%; FB1:  86.61
accuracy:  91.85%; precision:  86.18%; recall:  87.10%; FB1:  86.63
accuracy:  92.15%; precision:  86.80%; recall:  88.16%; FB1:  87.48
accuracy:  92.38%; precision:  87.29%; recall:  88.22%; FB1:  87.75
